,State,Date,Case,Population,Case_1m,Daily_Case,Daily_Case_1m,Daily_Case_1m_sm,Daily_Case_1m_Change,Daily_Case_1m_RoC,retail,grocery,parks,transit,workplace,residential,location_name,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,stay_home_days,non_essential_closed_days
30,Alabama,2020-03-25,381,4903185.0,77.70459405468078,139,28.348920140684065,21.82255003635392,6.594353126250249,0.2613882058138396,-22.71186440677966,-2.838709677419355,34.4,-12.181818181818182,-29.63235294117647,12.242424242424242,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
31,Alabama,2020-03-26,517,4903185.0,105.4416669980839,136,27.737072943403113,23.45414256243646,1.6315925260825388,0.05127158333378738,-24.4,0.015873015873015872,28.272727272727273,-16.217391304347824,-30.029411764705884,13.030303030303031,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
32,Alabama,2020-03-27,587,4903185.0,119.71810160130609,70,14.276434603222192,21.278685860993075,-2.175456701443384,-0.06502802148891619,-27.53125,-0.796875,41.214285714285715,-23.291666666666668,-31.63235294117647,14.46875,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
33,Alabama,2020-03-28,694,4903185.0,141.54065163766,107,21.822550036353924,20.93877075139255,-0.3399151096005255,-0.010867307888546103,-29.866666666666667,1.90625,21.454545454545453,-24.043478260869566,-19.12962962962963,8.7,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
34,Alabama,2020-03-29,825,4903185.0,168.25797925226155,131,26.71732761460153,21.21070283907297,0.271932087680419,0.008789363024973426,-35.85454545454545,-10.96774193548387,18.923076923076923,-29.217391304347824,-28.647058823529413,9.529411764705882,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
35,Alabama,2020-03-30,899,4903185.0,183.35021011852498,74,15.09223086626346,19.919025422590963,-1.2916774164820062,-0.04138572024930317,-29.55,-9.444444444444445,7.0,-23.956521739130434,-31.470588235294116,13.46875,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
36,Alabama,2020-03-31,987,4903185.0,201.29772790543288,88,17.947517786907895,15.976010151224834,-3.9430152713661286,-0.1317895625165944,-33.60655737704918,-10.703125,-19.428571428571427,-22.347826086956523,-34.26470588235294,16.387096774193548,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
37,Alabama,2020-04-01,1060,4903185.0,216.18600970593602,73,14.888281800503142,22.706329321315295,6.7303191700904605,0.25909749537779225,-19.406779661016948,9.1,21.0,-16.863636363636363,-33.36764705882353,13.454545454545455,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
38,Alabama,2020-04-02,1233,4903185.0,251.46919808247088,173,35.283188376534845,34.53537513541368,11.829045814098386,0.36167451559258856,-25.516666666666666,6.645161290322581,11.916666666666666,-22.26086956521739,-33.73529411764706,15.0,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
39,Alabama,2020-04-03,1495,4903185.0,304.90385331167397,262,53.43465522920306,37.66259414373854,3.1272190083248574,0.07021876427034186,-24.578125,16.5,25.8,-28.56,-34.73529411764706,15.32258064516129,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
